Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 5,DOMAIN,GW Chi Square - GW Squared Gini,2.046625647064681,28,0.025093153837,2.046625647064681,28,0.025093153837,0.0,100.0,28
KDD98 Multiclass 5,RFA_19,GW Chi Square - GW Squared Gini,4.642933226256737,29,3.41816769005e-05,4.6344799676441015,29,3.49917611848e-05,0.0,100.0,29
KDD98 Multiclass 5,OSOURCE,GW Chi Square - GW Squared Gini,2.4159203064075876,24,0.0118345988936,2.4163037487314534,24,0.0118246407142,0.0,100.0,24
KDD98 Multiclass 5,RFA_15,GW Chi Square - GW Squared Gini,27.389724896030373,29,0.0,27.3998852301487,29,0.0,2.692582403567252,0.00582739683775,29
KDD98 Multiclass 5,CDPLAY,GW Chi Square - GW Squared Gini,0.0,6,100.0,0.0,6,100.0,0.0,100.0,6
KDD98 Multiclass 5,GARDENIN,GW Chi Square - GW Squared Gini,0.0,14,100.0,0.0,14,100.0,0.0,100.0,14
KDD98 Multiclass 5,RFA_24,GW Chi Square - GW Squared Gini,6.5010890413067965,29,2.03420729705e-07,6.5020682153043925,29,2.02883268074e-07,0.0,100.0,29
KDD98 Multiclass 5,BIBLE,GW Chi Square - GW Squared Gini,0.0,3,100.0,0.0,3,100.0,0.0,100.0,3
KDD98 Multiclass 5,GENDER,GW Chi Square - GW Squared Gini,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 5,RFA_3,GW Chi Square - GW Squared Gini,2.2347876629239924,29,0.0166499622704,2.236550362786562,29,0.0165857713662,0.0,100.0,29
KDD98 Multiclass 5,RECINHSE,GW Chi Square - GW Squared Gini,0.0,13,100.0,0.0,13,100.0,0.0,100.0,13
KDD98 Multiclass 5,RFA_12,GW Chi Square - GW Squared Gini,1.6002381893669122,29,0.060192482817,1.5966161634359768,29,0.0605961954255,0.0,100.0,29
KDD98 Multiclass 5,PETS,GW Chi Square - GW Squared Gini,0.0,7,100.0,0.0,7,100.0,0.0,100.0,7
